Protein1,Protein2,PartialCor
1433EPSILON,BAK,0.05038
1433EPSILON,BCLXL,0.04428
1433EPSILON,BID,0.03088
1433EPSILON,CD49B,0.04904
1433EPSILON,CHK1,0.04821
1433EPSILON,COLLAGENVI,0.04108
1433EPSILON,CYCLIND1,0.02593
1433EPSILON,DJ1,0.00656
1433EPSILON,EGFRPY1173,0.0773
1433EPSILON,FOXO3A,0.07211
1433EPSILON,GSK3ALPHABETAPS21S9,-0.00763
1433EPSILON,MIG6,0.04165
1433EPSILON,NCADHERIN,0.06942
1433EPSILON,NFKBP65PS536,-0.00296
1433EPSILON,NOTCH1,0.03581
1433EPSILON,PCADHERIN,0.10038
1433EPSILON,PCNA,0.02441
1433EPSILON,PKCALPHA,0.07309
1433EPSILON,RAD51,0.04098
1433EPSILON,RBPS807S811,-0.07064
1433EPSILON,SMAD4,0.15355
1433EPSILON,STATHMIN,0.02177
1433EPSILON,YAP,0.12152
1433EPSILON,EGFR,0.01391
4EBP1,4EBP1PT37T46,0.04367
4EBP1,EIF4E,0.06685
4EBP1PS65,4EBP1PT37T46,0.22095
4EBP1PT37T46,MAPKPT202Y204,0.006
4EBP1PT37T46,RBPS807S811,0.02325
4EBP1PT37T46,S6PS240S244,0.0054
53BP1,BETACATENIN,0.14079
53BP1,CRAFPS338,-0.00809
53BP1,CHK1,-0.04933
53BP1,DVL3,0.00558
53BP1,GATA3,0.1725
53BP1,KU80,0.11249
53BP1,MTOR,0.01426
53BP1,P70S6KPT389,-0.00143
53BP1,S6,0.00617
53BP1,SRCPY527,-0.01931
53BP1,TUBERIN,0.05635
ACCPS79,ACC1,0.51237
ACC1,GSK3ALPHABETA,0.03861
ACC1,MTOR,0.0279
AKT,DVL3,0.11341
AKT,ERK2,0.00687
AKT,GSK3ALPHABETA,0.002
AKT,KU80,0.02554
AKT,MTOR,0.00804
AKT,PDK1PS241,0.00128
AKT,PTEN,0.08068
AKT,TUBERIN,0.10814
AKTPS473,AKTPT308,0.51203
AKTPS473,MAPKPT202Y204,0.1127
AKTPS473,P38PT180Y182,0.02197
AKTPS473,P70S6KPT389,0.03819
AKTPS473,PRAS40PT246,0.07434
AKTPS473,SRCPY527,0.0171
AKTPS473,YB1PS102,0.05091
AKTPT308,PRAS40PT246,0.06051
AMPKALPHA,AMPKPT172,0.24147
AMPKPT172,JNK2,0.00349
