Protein1,Protein2,PartialCor
1433EPSILON,BAK,0.05333
1433EPSILON,BAX,0.05749
1433EPSILON,BCLXL,0.0464
1433EPSILON,BID,0.03475
1433EPSILON,CD49B,0.07611
1433EPSILON,CHK1,0.03126
1433EPSILON,CYCLIND1,0.00287
1433EPSILON,DJ1,0.00133
1433EPSILON,EGFRPY1173,0.08699
1433EPSILON,FOXO3A,0.03768
1433EPSILON,GSK3ALPHABETAPS21S9,-0.00681
1433EPSILON,MIG6,0.04295
1433EPSILON,NOTCH1,0.09753
1433EPSILON,SMAD4,0.167
1433EPSILON,STATHMIN,0.01653
1433EPSILON,EGFR,0.01693
4EBP1,EIF4E,0.02709
4EBP1,PCNA,0.01856
4EBP1PS65,4EBP1PT37T46,0.08089
4EBP1PT37T46,CJUNPS73,0.03021
4EBP1PT37T46,GSK3ALPHABETAPS21S9,0.10508
4EBP1PT37T46,MAPKPT202Y204,0.03699
4EBP1PT37T46,PRAS40PT246,0.01089
4EBP1PT37T46,RBPS807S811,0.02325
4EBP1PT37T46,S6PS235S236,0.01438
4EBP1PT37T46,S6PS240S244,0.0054
4EBP1PT37T46,YB1PS102,0.02483
53BP1,BETACATENIN,0.146
53BP1,KU80,0.05693
53BP1,TUBERIN,0.00615
ACCPS79,ACC1,0.51237
AKTPS473,AKTPT308,0.42851
AKTPS473,GSK3ALPHABETAPS21S9,0.08885
AKTPS473,MAPKPT202Y204,0.11423
AKTPS473,P38PT180Y182,0.03921
AKTPS473,P70S6KPT389,0.03871
AKTPS473,PRAS40PT246,0.07536
AKTPS473,JNKPT183Y185,0.04017
AKTPT308,PRAS40PT246,0.06206
AKTPT308,PTEN,-0.05214
AMPKALPHA,AMPKPT172,0.19239
AMPKPT172,GSK3ALPHABETA,0.02248
AMPKPT172,MAPKPT202Y204,-0.00971
AMPKPT172,PRAS40PT246,-0.06456
AMPKPT172,TUBERIN,0.01856
AR,CMYC,0.0191
AR,ERALPHA,0.11034
AR,ERALPHAPS118,0.02894
AR,PR,0.0726
ATM,KU80,0.02882
ATM,MTOR,0.02422
ATM,RAD50,0.02933
BAK,BAX,0.06998
BAK,BID,0.02653
BAK,CHK1,0.0314
BAK,EGFRPY1173,0.15775
BAK,FOXO3A,0.16516
BAK,LCK,0.07255
BAK,MIG6,0.15085
BAK,MTOR,-0.04218
BAK,NOTCH1,0.04551
BAK,P38MAPK,0.04233
BAK,PEA15,0.0317
BAK,RAD51,0.03136
BAK,SMAD3,0.0186
BAK,SMAD4,0.12477
BAK,STATHMIN,0.03265
BAK,MTORPS2448,-0.00952
BAK,EGFR,0.01465
BAX,BCLXL,0.08015
BAX,LCK,0.09233
BAX,P38MAPK,0.07493
BAX,PEA15,0.15181
BCLXL,BID,0.10343
BCLXL,MIG6,0.03216
BCLXL,NCADHERIN,0.0116
BCLXL,PEA15,0.00347
BCLXL,RAD50,0.01425
BECLIN,CMETPY1235,0.06248
BECLIN,CD31,0.24472
BECLIN,CIAP,0.05206
BECLIN,INPP4B,0.18308
BECLIN,LKB1,0.19586
BECLIN,MRE11,0.08764
BECLIN,PKCDELTAPS664,0.01838
BETACATENIN,ECADHERIN,0.22435
BETACATENIN,ERALPHAPS118,0.00954
BETACATENIN,LCK,-0.0038
BETACATENIN,MTOR,0.13723
BID,COLLAGENVI,0.09207
BID,CYCLIND1,0.12821
BID,EGFRPY1173,0.21178
BID,HER3,0.01366
BID,HSP70,0.18162
BID,IRS1,0.08466
BID,MIG6,0.10189
BID,MRE11,0.04265
BID,NCADHERIN,0.01582
BID,NOTCH1,0.14498
BID,PCADHERIN,0.00162
BID,RAD51,0.0367
BID,STATHMIN,0.04337
BIM,MAPKPT202Y204,-0.01389
BIM,MEK1PS217S221,-0.00685
BIM,P38PT180Y182,-0.04068
BIM,YB1PS102,-0.0114
CJUNPS73,P70S6KPT389,0.00345
CJUNPS73,P90RSKPT359S363,0.02868
CJUNPS73,PRAS40PT246,0.11146
CJUNPS73,RBPS807S811,0.01119
CJUNPS73,SRCPY527,0.01964
CJUNPS73,YB1PS102,0.03532
CJUNPS73,JNKPT183Y185,0.10623
CKIT,CYCLIND1,0.0139
CKIT,GATA3,0.06549
CKIT,SMAD3,0.07978
CKIT,SMAD4,0.06266
CKIT,SRC,0.07258
CMETPY1235,CRAFPS338,0.10077
CMETPY1235,CD31,0.06316
CMETPY1235,CD49B,0.04356
CMETPY1235,CHK1PS345,0.17932
CMETPY1235,CHK2PT68,0.1482
CMETPY1235,EGFRPY1173,0.11863
CMETPY1235,LKB1,0.0194
CMETPY1235,MRE11,0.21753
CMETPY1235,P27PT157,0.1325
CMETPY1235,P53,0.01406
CMETPY1235,STATHMIN,0.09973
CMYC,HER3,0.11298
CMYC,MRE11,0.04212
CMYC,YB1,0.01991
CRAF,MTOR,0.06103
CRAF,P70S6K,0.0306
CRAF,PI3KP110ALPHA,0.04483
CRAF,TUBERIN,0.0613
CRAFPS338,CHK1,0.10206
CRAFPS338,CHK1PS345,0.17227
CRAFPS338,MRE11,0.10505
CRAFPS338,P70S6KPT389,0.01511
CRAFPS338,SHCPY317,0.03427
CRAFPS338,SRCPY416,0.03515
CASPASE7CLEAVEDD198,LCK,0.1267
CAVEOLIN1,CHK2PT68,-0.03776
CAVEOLIN1,CLAUDIN7,-0.0022
CAVEOLIN1,COLLAGENVI,0.28009
CD31,CHK2PT68,0.01852
CD31,INPP4B,0.00038
CD31,LKB1,0.00425
CD31,MRE11,0.13274
CD31,P27PT157,0.05805
CD31,P53,0.05453
CD31,PKCDELTAPS664,0.00526
CD49B,CYCLIND1,0.01701
CD49B,EGFRPY1173,0.00463
CD49B,GATA3,0.11288
CD49B,LKB1,0.00676
CD49B,MIG6,0.03072
CD49B,MRE11,0.02357
CD49B,SMAD4,0.04052
CD49B,PAI1,0.00461
CD49B,EGFR,0.00723
CDK1,CYCLINB1,0.37698
CDK1,PCNA,0.03814
CDK1,RAD51,0.00815
CDK1,STATHMIN,0.00421
CHK1,CHK1PS345,0.06147
CHK1,MRE11,0.06215
CHK1,RAD51,0.06859
CHK1,SMAD4,0.01249
CHK1,STAT5ALPHA,-0.05622
CHK1,STATHMIN,0.17251
CHK1,TUBERIN,-0.06238
CHK1,YAP,0.05181
CHK1,EGFR,0.04144
CHK1PS345,CHK2PT68,0.16775
CHK1PS345,EGFRPY1173,0.00246
CHK1PS345,MRE11,0.11232
CHK1PS345,P27PT157,0.07529
CHK1PS345,RAD51,0.00968
CHK1PS345,STATHMIN,0.05022
CHK2,CHK2PT68,0.12132
CHK2,CYCLINB1,0.03968
CHK2,KU80,0.0403
CHK2PT68,MRE11,0.05352
CHK2PT68,P27PT157,0.10127
CHK2PT68,P53,0.10139
CIAP,GSK3ALPHABETA,0.03085
CIAP,LKB1,0.1075
CIAP,MTOR,0.03604
CLAUDIN7,ECADHERIN,0.18716
COLLAGENVI,CYCLIND1,0.03619
COLLAGENVI,EGFRPY1173,0.07092
COLLAGENVI,HER3,0.14766
COLLAGENVI,HSP70,0.05533
COLLAGENVI,IRS1,0.03412
COLLAGENVI,MTOR,-0.01257
COLLAGENVI,SMAD4,0.02227
CYCLINB1,CYCLINE1,0.08502
CYCLINB1,GSK3ALPHABETA,0.01694
CYCLINB1,PCNA,0.0626
CYCLINB1,ASNS,0.05102
CYCLIND1,EGFRPY1173,0.16579
CYCLIND1,HSP70,0.16541
CYCLIND1,IRS1,0.09808
CYCLIND1,MIG6,0.05588
CYCLIND1,MRE11,0.03188
CYCLIND1,NCADHERIN,0.05818
CYCLIND1,SRC,0.01784
DJ1,PEA15,0.04839
DJ1,YAP,0.02571
DVL3,PAXILLIN,0.0728
ECADHERIN,ERALPHA,0.0199
ECADHERIN,ERALPHAPS118,0.01164
EEF2,ERK2,0.02662
EGFRPY1068,HER2PY1248,0.33602
EGFRPY1068,SHCPY317,0.08935
EGFRPY1068,SRCPY416,0.09044
EGFRPY1068,SRCPY527,0.02076
EGFRPY1173,HSP70,0.03194
EGFRPY1173,MIG6,0.03362
EGFRPY1173,NCADHERIN,0.04337
EGFRPY1173,NOTCH1,0.04426
EGFRPY1173,RAD51,0.06187
EGFRPY1173,SMAD3,0.06859
EGFRPY1173,SMAD4,0.09226
EGFRPY1173,STATHMIN,0.06154
EIF4E,MEK1,0.02893
ERALPHA,ERALPHAPS118,0.11419
ERALPHA,NOTCH1,-0.01048
ERALPHA,PAI1,-0.01714
ERALPHAPS118,PR,0.06351
ERALPHAPS118,PAI1,-0.01027
ERK2,NF2,0.06553
ERK2,PEA15,0.02127
FIBRONECTIN,JNKPT183Y185,0.01983
FIBRONECTIN,PAI1,0.24777
FOXO3A,SMAD4,0.05851
GATA3,SMAD3,0.02719
GSK3ALPHABETA,MTOR,0.17253
GSK3ALPHABETA,SYK,0.04782
GSK3ALPHABETAPS21S9,MAPKPT202Y204,0.03768
GSK3ALPHABETAPS21S9,MEK1PS217S221,0.11238
GSK3ALPHABETAPS21S9,NFKBP65PS536,0.09967
GSK3ALPHABETAPS21S9,P38PT180Y182,0.14642
GSK3ALPHABETAPS21S9,P90RSKPT359S363,0.14787
GSK3ALPHABETAPS21S9,PRAS40PT246,0.19683
GSK3ALPHABETAPS21S9,RBPS807S811,0.08491
GSK3ALPHABETAPS21S9,SRCPY527,0.11844
GSK3ALPHABETAPS21S9,STATHMIN,-0.00802
GSK3ALPHABETAPS21S9,MTORPS2448,0.04498
HER2,HER2PY1248,0.44833
HER3,INPP4B,0.15554
HER3,PKCALPHA,0.13862
HER3,YB1,0.23344
HSP70,IRS1,0.02398
HSP70,MRE11,0.03764
HSP70,STATHMIN,0.07128
INPP4B,PKCALPHA,0.04809
INPP4B,YB1,0.11179
IRS1,MRE11,0.02966
IRS1,NOTCH1,0.04091
IRS1,STATHMIN,0.00607
KU80,MAPKPT202Y204,-0.00518
KU80,MTOR,0.10993
KU80,TUBERIN,0.0655
LKB1,MRE11,0.12003
LCK,P38MAPK,0.0344
